2022-10-20 19:26:20,094 |     INFO | 192.168.1.144:53970 | READ
2022-10-20 19:26:48,722 |     INFO | 192.168.1.144:53984 | READ
2022-10-20 19:27:41,341 |     INFO | 192.168.1.144:54005 | READ
2022-10-20 19:28:10,173 |     INFO | 192.168.1.144:54012 | READ
2022-10-20 19:28:31,879 |     INFO | 192.168.1.144:57771 | READ
2022-10-20 19:28:55,933 |     INFO | 192.168.1.144:57781 | READ
2022-10-20 19:29:20,821 |     INFO | 192.168.1.144:57791 | READ
2022-10-20 19:29:25,327 |     INFO | 192.168.1.144:57791 | READ
2022-10-20 19:29:45,947 |     INFO | 192.168.1.144:57800 | READ
2022-10-20 20:32:14,327 |     INFO | 192.168.1.144:58499 | READ
2022-10-20 20:58:06,983 |     INFO | 192.168.1.144:54832 | READ
2022-10-20 21:02:41,973 |     INFO | 192.168.1.144:50090 | READ
2022-10-20 21:04:27,045 |     INFO | 192.168.1.144:49205 | READ
2022-10-20 21:06:07,713 |     INFO | 192.168.1.144:49238 | READ
2022-10-20 21:22:29,025 |     INFO | 192.168.1.144:57656 | READ
2022-10-20 21:22:56,675 |     INFO | 192.168.1.144:64488 | READ
2022-10-20 21:23:19,623 |     INFO | 192.168.1.144:64494 | READ
2022-10-20 21:23:59,324 |     INFO | 192.168.1.144:64507 | READ
2022-10-20 21:24:10,696 |     INFO | 192.168.1.144:64514 | READ
2022-10-20 21:27:25,309 |     INFO | 192.168.1.144:64593 | READ
2022-10-20 21:28:39,850 |     INFO | 192.168.1.144:62629 | READ
2022-10-20 21:29:04,358 |     INFO | 192.168.1.144:62643 | READ
2022-10-20 21:30:02,243 |     INFO | 192.168.1.144:62658 | READ
2022-10-20 21:32:07,133 |     INFO | 192.168.1.144:62698 | READ
2022-10-20 21:33:35,010 |     INFO | 192.168.1.144:62724 | READ
2022-10-20 21:35:42,201 |     INFO | 192.168.1.144:58922 | READ
2022-10-20 21:38:26,171 |     INFO | 192.168.1.144:58972 | READ
2022-10-20 21:40:25,631 |     INFO | 192.168.1.144:59024 | READ
2022-10-20 21:40:44,030 |     INFO | 192.168.1.144:62550 | READ
2022-10-20 21:41:03,172 |     INFO | 192.168.1.144:62560 | READ
2022-10-20 21:41:34,479 |     INFO | 192.168.1.144:62567 | READ
2022-10-20 21:41:46,939 |     INFO | 192.168.1.144:62573 | READ
2022-10-20 21:52:42,408 |     INFO | 192.168.1.144:50726 | READ
2022-10-20 21:52:56,411 |     INFO | 192.168.1.144:61406 | READ
2022-10-20 21:54:23,264 |     INFO | 192.168.1.144:61436 | READ
2022-10-20 21:54:43,341 |     INFO | 192.168.1.144:61438 | READ
2022-10-20 21:58:58,903 |     INFO | 192.168.1.144:49975 | READ
2022-10-20 21:59:40,891 |     INFO | 192.168.1.144:49987 | READ
2022-10-20 22:00:43,596 |     INFO | 192.168.1.144:50009 | READ
2022-10-20 22:02:20,835 |     INFO | 192.168.1.144:50038 | READ
2022-10-20 22:06:42,352 |     INFO | 192.168.1.144:64587 | READ
2022-10-20 22:07:39,160 |     INFO | 192.168.1.144:64604 | READ
2022-10-20 22:08:06,615 |     INFO | 192.168.1.144:64615 | READ
2022-10-20 22:10:27,252 |     INFO | 192.168.1.144:64687 | READ
2022-10-20 22:11:33,811 |     INFO | 192.168.1.144:64760 | READ
2022-10-20 22:12:15,075 |     INFO | 192.168.1.144:51709 | READ
2022-10-20 22:12:46,874 |     INFO | 192.168.1.144:51726 | READ
